TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price,Pending Quantity,Total Quantity,Add to Quantity,TCG Marketplace Price,My Store Reserve Quantity,My Store Price,Photo URL
7446802,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Archivist of Gondor (Showcase Scrolls),,420,R,Lightly Played Foil,0.3,0,0,0,100,100,0.3,,,
7538133,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Assemble the Entmoot (Showcase Scrolls),,438,R,Lightly Played Foil,0.4,0,0,0,1,1,0.4,,,
7447102,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Corsairs of Umbar (Showcase Scrolls),,421,R,Lightly Played Foil,0.4,0,0,0,1,1,0.4,,,
7447482,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,"Denethor, Stone Seer (Showcase Scrolls)",,422,R,Lightly Played Foil,0.33,0,0,0,1,1,0.33,,,
7451637,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Elvish Harbinger (Borderless),,527,U,Lightly Played Foil,0.58,0,0,0,1,1,0.58,,,
7539863,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,"Faramir, Steward of Gondor (Showcase Scrolls)",,458,R,Lightly Played Foil,0.42,0,0,0,2,2,0.42,,,
7539683,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Feasting Hobbit (Showcase Scrolls),,439,R,Lightly Played Foil,0.72,0,0,0,1,1,0.72,,,
7438100,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Fell Beast of Mordor (Borderless),,513,R,Lightly Played Foil,0.32,0,0,0,1,1,0.32,,,
7539283,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,"Frodo, Adventurous Hobbit (Showcase Scrolls)",,461,M,Lightly Played Foil,5.14,0,0,0,1,1,5.14,,,
7438105,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Gimli's Reckless Might (Borderless),,494,R,Lightly Played Foil,0.41,0,0,0,1,1,0.41,,,
7447742,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,"Gollum, Obsessed Stalker (Showcase Scrolls)",,428,R,Lightly Played Foil,0.98,0,0,0,1,1,0.98,,,
7538173,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,In the Darkness Bind Them (Showcase Scrolls),,465,R,Lightly Played Foil,4.2,0,0,0,2,2,4.2,,,
7447252,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Lidless Gaze (Showcase Scrolls),,466,R,Lightly Played Foil,0.47,0,0,0,1,1,0.47,,,
7447152,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,"Lobelia, Defender of Bag End (Showcase Scrolls)",,429,R,Lightly Played Foil,0.44,0,0,0,1,1,0.44,,,
7447062,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Lord of the Nazgul (Showcase Scrolls),,467,R,Lightly Played Foil,7.3,0,0,0,2,2,7.3,,,
7447262,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Model of Unity (Showcase Scrolls),,488,R,Lightly Played Foil,0.29,0,0,0,2,2,0.29,,,
7438125,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Mordor on the March (Borderless),,512,R,Lightly Played Foil,0.28,0,0,0,1,1,0.28,,,
7447962,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Moria Scavenger (Showcase Scrolls),,470,R,Lightly Played Foil,0.46,0,0,0,1,1,0.46,,,
7539703,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Motivated Pony (Showcase Scrolls),,444,R,Lightly Played Foil,0.39,0,0,0,2,2,0.39,,,
7539293,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Oath of Eorl (Showcase Scrolls),,471,R,Lightly Played Foil,0.39,0,0,0,1,1,0.39,,,
7539323,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Orcish Siegemaster (Showcase Scrolls),,435,R,Lightly Played Foil,0.58,0,0,0,1,1,0.58,,,
7539463,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Prize Pig (Showcase Scrolls),,445,R,Lightly Played Foil,0.51,0,0,0,2,2,0.51,,,
7447812,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Riders of Rohan (Showcase Scrolls),,474,R,Lightly Played Foil,0.33,0,0,0,1,1,0.33,,,
7438135,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Rohirrim Chargers (Borderless),,496,R,Lightly Played Foil,0.23,0,0,0,1,1,0.23,,,
7446612,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Sail into the West (Showcase Scrolls),,475,R,Lightly Played Foil,0.75,0,0,0,1,1,0.75,,,
7451697,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Timber Protector (Borderless),,533,R,Lightly Played Foil,5.08,0,0,0,2,2,5.08,,,
7542663,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Trap the Trespassers (Showcase Scrolls),,427,R,Lightly Played Foil,0.22,0,0,0,1,1,0.22,,,
7538183,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Travel Through Caradhras (Showcase Scrolls),,446,R,Lightly Played Foil,0.26,0,0,0,2,2,0.26,,,
7539443,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,Windswift Slice (Showcase Scrolls),,447,R,Lightly Played Foil,1.4,0,0,0,1,1,1.4,,,
7448172,Magic,Commander: The Lord of the Rings: Tales of Middle-earth,"Eowyn, Shieldmaiden (Showcase Scrolls)",,456,M,Lightly Played Foil,3.88,0,0,0,1,1,3.88,,,
7211889,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Aragorn, Company Leader",,191,R,Lightly Played Foil,0.23,0,0,0,4,4,0.23,,,
7216254,Magic,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,"Aragorn, Company Leader (Showcase)",,316,R,Lightly Played Foil,0.29,0,0,0,1,1,0.29,,,
